review_id,stars_business,stars_reviews,text,useful,funny,cool,location_id
0Xyyst39F76J9Rvogyjq,4.5,1,Went Here For Dinner As The Reviews Were Good Was Extremely Disappointed If Your Looking For Mexican Food This Is Not The Place To Come It Is Very Gourmet And Overpriced My Husband Ordered Santa Maria Tri Tip With Pinto Beans These Were Sweet Baked Beans Small Portion For 2400 I Order Half Chicken With Roasted Potatoes I Asked The Very Nice Waiter If The Sauce Was Sweet As It Mentioned It Had Apples In It He Said Absolutely Not So I Ordered This Item The Sauce Was Sweet It Was Pretty Much Apple Sauce On My Chicken Also About 2000 No Chips As Appetizers There Were The Pinwheel Doritos The Street Sellers Sell For A Dollar With Some Chili Pepper Sprinkled On Top Spent 6000 For 2 Meals 1 Beer Also Left Hungry And I Satisfied Would Not Recommend This Place Only Had A Few Appetizer And Salads And About 4 Dinner Entrees Not A Lot A Choices And Definitely Not Mexican There Was Not One Authentic Mexican Plate In The Menu,1,0,0,731159
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,2130752
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,3457877
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,1119307
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,710686
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,944939
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,716502
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,576552
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,1214104
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,1308068
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,236926
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,2259503
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,1126310
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,1704274
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,923551
4C7Ufqjnst_Ayqd2Cfaa,3.5,1,I Have Been To This Restaurant In Early 1980S And Last Time In 2003 When I Traveled Up The Coast I Remembered It As A Much Better Restaruant You Can Get Better Seafood At Dennys The Salmon Was Pretty Tasteless And Overcooked The Bread Was Excellent But The Meal Was Not It Is Dirty And Very Dated It Looks Like A Place For The Locals But Ive Heard There Are Better Places In Town Stay Away,0,0,0,1425601
