gmap_id,name,address,description,latitude,longitude,category,num_of_reviews
0X80C063E4Eba4487F0X2F895B50Bd80Adc8,Atm,Atm 601 Us395 Olancha Ca 93549,Sin Dato,36.2740269,-118.0027758,Atm,3
0X80C063E4Eba4487F0X2F895B50Bd80Adc8,Atm,Atm 601 Us395 Olancha Ca 93549,Sin Dato,36.2740269,-118.0027758,Atm,3
0X809Ac89E1021C28B0X6308C952B7A00869,Us Bank Atm,Us Bank Atm Elk Grove Ca 95758,Sin Dato,38.4240892,-121.4464248,Atm,1
0X809Ac89E1021C28B0X6308C952B7A00869,Us Bank Atm,Us Bank Atm Elk Grove Ca 95758,Sin Dato,38.4240892,-121.4464248,Atm,1
0X80Dca5F89F63B87F0X890Bbb982D6B6Fdd,Coinstar,Coinstar Moreno Valley Ca 92553,Sin Dato,33.9339773,-117.2750779,Atm,1
0X80Dca5F89F63B87F0X890Bbb982D6B6Fdd,Coinstar,Coinstar Moreno Valley Ca 92553,Sin Dato,33.9339773,-117.2750779,Atm,1
0X808F8Cb2767Dae850X13B7F91E0A8A6D7F,Wells Fargo Atm,Wells Fargo Atm Danville Ca 94526,Sin Dato,37.8151285,-121.9967612,Atm,1
0X808F8Cb2767Dae850X13B7F91E0A8A6D7F,Wells Fargo Atm,Wells Fargo Atm Danville Ca 94526,Sin Dato,37.8151285,-121.9967612,Atm,1
0X80945E1C1C41Dc750Xa242D4Cafe6448C9,Atm,Atm 2823 Fresno St Fresno Ca 93721,Sin Dato,36.7429722,-119.78422,Atm,2
0X80945E1C1C41Dc750Xa242D4Cafe6448C9,Atm,Atm 2823 Fresno St Fresno Ca 93721,Sin Dato,36.7429722,-119.78422,Atm,2
0X80Dcb735E8F94A5D0Xdd7561E2D4F741De,Atm Wells Fargo,Atm Wells Fargo Riverside Ca 92503,Sin Dato,33.9114864,-117.4605482,Atm,5
0X80Dcb735E8F94A5D0Xdd7561E2D4F741De,Atm Wells Fargo,Atm Wells Fargo Riverside Ca 92503,Sin Dato,33.9114864,-117.4605482,Atm,5
0X80C47C8F90863D350Xed4D10085328F70D,Atm,Atm 913 Barstow Rd Barstow Ca 92311,Sin Dato,34.8874916,-117.0221458,Atm,1
0X80C47C8F90863D350Xed4D10085328F70D,Atm,Atm 913 Barstow Rd Barstow Ca 92311,Sin Dato,34.8874916,-117.0221458,Atm,1
0X80Dd355Dda20D4B10X3E5B2B7B155Fab67,Atm,Atm 1000 W Carson St Torrance Ca 90502,Sin Dato,33.8305809,-118.2914287,Atm,2
0X80Dd355Dda20D4B10X3E5B2B7B155Fab67,Atm,Atm 1000 W Carson St Torrance Ca 90502,Sin Dato,33.8305809,-118.2914287,Atm,2
0X80C1C8C03C1666670X1E0Ef38146136824,Atm,Atm 14606 Ca178 Lake Isabella Ca 93240,Sin Dato,35.6415246,-118.3689308,Atm,1
0X80C1C8C03C1666670X1E0Ef38146136824,Atm,Atm 14606 Ca178 Lake Isabella Ca 93240,Sin Dato,35.6415246,-118.3689308,Atm,1
0X80Eab84483C275B70X40C58D3D31F5559A,Atm,Atm 11 W Olive Ave Porterville Ca 93257,Sin Dato,36.0648353,-119.016828,Atm,1
0X80Eab84483C275B70X40C58D3D31F5559A,Atm,Atm 11 W Olive Ave Porterville Ca 93257,Sin Dato,36.0648353,-119.016828,Atm,1
0X80C2Cb6E7Aa1821D0X757Cc182Ac2Ee581,Atm,Atm 123 E Artesia Blvd Compton Ca 90220,Sin Dato,33.8748146,-118.2203967,Atm,2
0X80C2Cb6E7Aa1821D0X757Cc182Ac2Ee581,Atm,Atm 123 E Artesia Blvd Compton Ca 90220,Sin Dato,33.8748146,-118.2203967,Atm,2
0X808F7E1B7B0Afd9D0Xdf2273Eebb926Fbf,Atm,Atm 3900 17Th St San Francisco Ca 94114,Sin Dato,37.7627408,-122.4332097,Atm,1
0X808F7E1B7B0Afd9D0Xdf2273Eebb926Fbf,Atm,Atm 3900 17Th St San Francisco Ca 94114,Sin Dato,37.7627408,-122.4332097,Atm,1
0X80Dd314917Adc1270X682A605C745F5Cc7,Atm,Atm 658 Magnolia Ave Long Beach Ca 90802,Sin Dato,33.7751463,-118.1978466,Atm,1
0X80Dd314917Adc1270X682A605C745F5Cc7,Atm,Atm 658 Magnolia Ave Long Beach Ca 90802,Sin Dato,33.7751463,-118.1978466,Atm,1
0X80D9513612F7D5A70Xbe69D7Ef02Ca639E,Empire Dispensary,Empire Dispensary Spring Valley Ca 91977,Sin Dato,32.7422193,-117.0025589,Atm,8
0X80D9513612F7D5A70Xbe69D7Ef02Ca639E,Empire Dispensary,Empire Dispensary Spring Valley Ca 91977,Sin Dato,32.7422193,-117.0025589,Atm,8
0X80C2Bf2358F873Af0X64024E5009Bd3231,Atm,Atm 6658 Hollywood Blvd Los Angeles Ca 90028,Sin Dato,34.1012971,-118.335328,Atm,1
0X80C2Bf2358F873Af0X64024E5009Bd3231,Atm,Atm 6658 Hollywood Blvd Los Angeles Ca 90028,Sin Dato,34.1012971,-118.335328,Atm,1
0X80D955168Dc74D7F0X2Efab1D5C77Ced90,Atm,Atm 8660 Rio San Diego Dr San Diego Ca 92108,Sin Dato,32.7753854,-117.1438775,Atm,2
0X80D955168Dc74D7F0X2Efab1D5C77Ced90,Atm,Atm 8660 Rio San Diego Dr San Diego Ca 92108,Sin Dato,32.7753854,-117.1438775,Atm,2
0X8085566D991049Cd0X7C0770E831A1E0Fd,Wells Fargo Atm,Wells Fargo Atm 2170 Main St Oakley Ca 94561,Sin Dato,38.0030467,-121.7317101,Atm,6
0X8085566D991049Cd0X7C0770E831A1E0Fd,Wells Fargo Atm,Wells Fargo Atm 2170 Main St Oakley Ca 94561,Sin Dato,38.0030467,-121.7317101,Atm,6
0X80Dcf46Dd2B6Ba510X40E7E5510E81B271,Atm,Atm 164 Avenida Del Mar San Clemente Ca 92672,Sin Dato,33.4265186,-117.6147417,Atm,1
0X80Dcf46Dd2B6Ba510X40E7E5510E81B271,Atm,Atm 164 Avenida Del Mar San Clemente Ca 92672,Sin Dato,33.4265186,-117.6147417,Atm,1
0X8084Ab600Eeb0Ee30Xbeb503261F585197,Chase Atm,Chase Atm 1054 Harter Pkwy Yuba City Ca 95993,Sin Dato,39.1419854,-121.6517558,Atm,2
0X8084Ab600Eeb0Ee30Xbeb503261F585197,Chase Atm,Chase Atm 1054 Harter Pkwy Yuba City Ca 95993,Sin Dato,39.1419854,-121.6517558,Atm,2
0X80C32F31169578C30X39742E875A7Bf87C,Chase Atm,Chase Atm 1115 W Arrow Hwy San Dimas Ca 91773,Sin Dato,34.1072242,-117.8295963,Atm,1
0X80C32F31169578C30X39742E875A7Bf87C,Chase Atm,Chase Atm 1115 W Arrow Hwy San Dimas Ca 91773,Sin Dato,34.1072242,-117.8295963,Atm,1
0X80Dcdf251Dd7Dbf50Xb65C1Bfccf636Ddb,Chase Atm,Chase Atm 3333 Bristol St Costa Mesa Ca 92626,Sin Dato,33.6909657,-117.8885854,Atm,1
0X80Dcdf251Dd7Dbf50Xb65C1Bfccf636Ddb,Chase Atm,Chase Atm 3333 Bristol St Costa Mesa Ca 92626,Sin Dato,33.6909657,-117.8885854,Atm,1
0X808E325E22Ee637B0X8F5Fced934B010A5,Citibank Atm,Citibank Atm 3110 Senter Rd San Jose Ca 95111,Sin Dato,37.2948158,-121.834138,Atm,1
0X808E325E22Ee637B0X8F5Fced934B010A5,Citibank Atm,Citibank Atm 3110 Senter Rd San Jose Ca 95111,Sin Dato,37.2948158,-121.834138,Atm,1
0X808580866F2467F30X5C4594661C246376,City Atm,City Atm 865 Market St San Francisco Ca 94103,Sin Dato,37.7845727,-122.4065707,Atm,1
0X808580866F2467F30X5C4594661C246376,City Atm,City Atm 865 Market St San Francisco Ca 94103,Sin Dato,37.7845727,-122.4065707,Atm,1
0X808Dff0512E413470X8B313633C954409B,Chase Atm,Chase Atm 101 Auto Center Cir Salinas Ca 93907,Sin Dato,36.7217264,-121.6640362,Atm,6
0X808Dff0512E413470X8B313633C954409B,Chase Atm,Chase Atm 101 Auto Center Cir Salinas Ca 93907,Sin Dato,36.7217264,-121.6640362,Atm,6
0X80Dcca35C38372C10X8839133A262A0E60,Us Bank Atm,Us Bank Atm 7070 Archibald Ave Corona Ca 92880,Sin Dato,33.9594199,-117.5917384,Atm,3
0X80Dcca35C38372C10X8839133A262A0E60,Us Bank Atm,Us Bank Atm 7070 Archibald Ave Corona Ca 92880,Sin Dato,33.9594199,-117.5917384,Atm,3
0X80C29740Fb4D1C170Xa16D52D3A9D5Df02,Chase Atm,Chase Atm 7108 Sepulveda Blvd Van Nuys Ca 91405,Sin Dato,34.1995619,-118.4652732,Atm,1
0X80C29740Fb4D1C170Xa16D52D3A9D5Df02,Chase Atm,Chase Atm 7108 Sepulveda Blvd Van Nuys Ca 91405,Sin Dato,34.1995619,-118.4652732,Atm,1
0X80C2C7Ca6C98B6A50X60477F4Af965C4D6,Chase Atm,Chase Atm 800 N Alameda St Los Angeles Ca 90012,Sin Dato,34.0561075,-118.2361336,Atm,4
0X80C2C7Ca6C98B6A50X60477F4Af965C4D6,Chase Atm,Chase Atm 800 N Alameda St Los Angeles Ca 90012,Sin Dato,34.0561075,-118.2361336,Atm,4
0X809B532Ac84Ce4Bd0X1E0C2F1D64Dd5C3,Citibank Atm,Citibank Atm 1020 Lincoln Rd Yuba City Ca 95991,Sin Dato,39.1123454,-121.6278593,Atm,1
0X809B532Ac84Ce4Bd0X1E0C2F1D64Dd5C3,Citibank Atm,Citibank Atm 1020 Lincoln Rd Yuba City Ca 95991,Sin Dato,39.1123454,-121.6278593,Atm,1
0X80C8C48691Ec2F170X12C2D5983F4C3E0C,Atm 7Eleven,Atm 7Eleven 1201 E Sahara Ave Las Vegas Nv 89104,Sin Dato,36.144611,-115.136594,Atm,4
0X80C8C48691Ec2F170X12C2D5983F4C3E0C,Atm 7Eleven,Atm 7Eleven 1201 E Sahara Ave Las Vegas Nv 89104,Sin Dato,36.144611,-115.136594,Atm,4
0X80C2Ce52E49B5F4D0Xbcc119Da59Adc7E,Wells Fargo Atm,Wells Fargo Atm 100 Citadel Dr Commerce Ca 90040,Sin Dato,34.0071187,-118.1536851,Atm,3
0X80C2Ce52E49B5F4D0Xbcc119Da59Adc7E,Wells Fargo Atm,Wells Fargo Atm 100 Citadel Dr Commerce Ca 90040,Sin Dato,34.0071187,-118.1536851,Atm,3
0X80Dd29979C70925B0X3A06D09F6F90C00C,Citibank Atm,Citibank Atm 103 N Brookhurst St Anaheim Ca 92801,Sin Dato,33.8328464,-117.9595212,Atm,1
0X80Dd29979C70925B0X3A06D09F6F90C00C,Citibank Atm,Citibank Atm 103 N Brookhurst St Anaheim Ca 92801,Sin Dato,33.8328464,-117.9595212,Atm,1
0X80C2B6Dc90951B8B0X4169Cc57E917C60B,Metabank,Metabank 5400 W Century Blvd Los Angeles Ca 90045,Sin Dato,33.94467,-118.374627,Atm,8
0X80C2B6Dc90951B8B0X4169Cc57E917C60B,Metabank,Metabank 5400 W Century Blvd Los Angeles Ca 90045,Sin Dato,33.94467,-118.374627,Atm,8
0X80Dc70908423Adcf0Xb3476E466Bc6Ba96,Atm 7Eleven,Atm 7Eleven 487 Vandegrift Blvd Oceanside Ca 92057,Convenience Chain Offering Grabgo Bites  Beverages Plus Assorted Newsstand Items,33.2547024,-117.2997151,Atm,3
0X80Dc70908423Adcf0Xb3476E466Bc6Ba96,Atm 7Eleven,Atm 7Eleven 487 Vandegrift Blvd Oceanside Ca 92057,Convenience Chain Offering Grabgo Bites  Beverages Plus Assorted Newsstand Items,33.2547024,-117.2997151,Atm,3
0X80C2C537739Ff5690X25B4Fd858D4E4Eb3,Citibank Atm,Citibank Atm 1200 S Garfield Ave Alhambra Ca 91801,Sin Dato,34.080409,-118.1225256,Atm,1
0X80C2C537739Ff5690X25B4Fd858D4E4Eb3,Citibank Atm,Citibank Atm 1200 S Garfield Ave Alhambra Ca 91801,Sin Dato,34.080409,-118.1225256,Atm,1
0X80C2C7E7F566F4710X5E77Bc60B4042899,Citibank Atm,Citibank Atm 3615 Vermont Ave Los Angeles Ca 90007,Sin Dato,34.022527,-118.292242,Atm,7
0X80C2C7E7F566F4710X5E77Bc60B4042899,Citibank Atm,Citibank Atm 3615 Vermont Ave Los Angeles Ca 90007,Sin Dato,34.022527,-118.292242,Atm,7
0X80C2D0B454468Bf90X8Ce2Cfb7A4D8Ca7C,Atm Wells Fargo Bank,Atm Wells Fargo Bank 3534 Peck Rd El Monte Ca 91731,Sin Dato,34.0695081,-118.021927,Atm,2
0X80C2D0B454468Bf90X8Ce2Cfb7A4D8Ca7C,Atm Wells Fargo Bank,Atm Wells Fargo Bank 3534 Peck Rd El Monte Ca 91731,Sin Dato,34.0695081,-118.021927,Atm,2
0X80C2D8764E7Ed8430Xaf5Bec72Ba370B03,Wells Fargo Atm,Wells Fargo Atm 1250 W Foothill Blvd Azusa Ca 91702,Sin Dato,34.1332744,-117.9268845,Atm,1
0X80C2D8764E7Ed8430Xaf5Bec72Ba370B03,Wells Fargo Atm,Wells Fargo Atm 1250 W Foothill Blvd Azusa Ca 91702,Sin Dato,34.1332744,-117.9268845,Atm,1
0X80C8Da8F480499Bb0Xa36Ce17628Edcaff,Atm Circle K,Atm Circle K 5485 E Tropicana Ave Las Vegas Nv 89122,Sin Dato,36.1000626,-115.0532203,Atm,1
0X80C8Da8F480499Bb0Xa36Ce17628Edcaff,Atm Circle K,Atm Circle K 5485 E Tropicana Ave Las Vegas Nv 89122,Sin Dato,36.1000626,-115.0532203,Atm,1
0X80C2C1349D4252E50X9537Ed3Ea13Bee0,Bank Of America Atm,Bank Of America Atm 157 Caruso Ave Glendale Ca 91210,Sin Dato,34.1433235,-118.25538,Atm,3
0X80C2C1349D4252E50X9537Ed3Ea13Bee0,Bank Of America Atm,Bank Of America Atm 157 Caruso Ave Glendale Ca 91210,Sin Dato,34.1433235,-118.25538,Atm,3
0X8085566Da3Fe5B630X38D4E50653Bb6F2,Bank Of The West  Atm,Bank Of The West  Atm 2195 Main St D Oakley Ca 94561,Sin Dato,38.0024315,-121.7326835,Atm,2
0X8085566Da3Fe5B630X38D4E50653Bb6F2,Bank Of The West  Atm,Bank Of The West  Atm 2195 Main St D Oakley Ca 94561,Sin Dato,38.0024315,-121.7326835,Atm,2
0X808561C1Ef9B3E790X5Db19De07C55733B,Capital One Atm,Capital One Atm 1139 S Main St Walnut Creek Ca 94596,Sin Dato,37.8969259,-122.0602586,Atm,5
0X808561C1Ef9B3E790X5Db19De07C55733B,Capital One Atm,Capital One Atm 1139 S Main St Walnut Creek Ca 94596,Sin Dato,37.8969259,-122.0602586,Atm,5
0X80C2Ba3Ef8B720830X2527A61E40F3250A,Chase Atm,Chase Atm 11181 Washington Blvd Culver City Ca 90232,Sin Dato,34.0076592,-118.4129167,Atm,4
0X80C2Ba3Ef8B720830X2527A61E40F3250A,Chase Atm,Chase Atm 11181 Washington Blvd Culver City Ca 90232,Sin Dato,34.0076592,-118.4129167,Atm,4
0X80C2Ce1Eeda962430Xe8748Bade2Df897B,Citibank Atm,Citibank Atm 733 Washington Blvd Montebello Ca 90640,Sin Dato,33.9934303,-118.116267,Atm,2
0X80C2Ce1Eeda962430Xe8748Bade2Df897B,Citibank Atm,Citibank Atm 733 Washington Blvd Montebello Ca 90640,Sin Dato,33.9934303,-118.116267,Atm,2
0X808Fa21Bb4Ab26330X9Be30099Cfb44439,Comerica Bank  Atm,Comerica Bank  Atm 644 Laurel St San Carlos Ca 94070,Sin Dato,37.5056065,-122.2605368,Atm,1
0X808Fa21Bb4Ab26330X9Be30099Cfb44439,Comerica Bank  Atm,Comerica Bank  Atm 644 Laurel St San Carlos Ca 94070,Sin Dato,37.5056065,-122.2605368,Atm,1
